APPLICATION_ID|REFERENCE_ID|REQUESTED_PRODUCT_TYPE_CODE|REQUESTED_SUBPRODUCT_TYPE_CODE|REQUESTED_PROMO_TYPE_CODE|SOURCE_CHANNEL_TYPE_CODE|EXTERNAL_TRACKING_CODE|SOURCE_IP|ORIGINATION_DTTM|TERMS_ACCEPTANCE_RESPONSE|TERMS_ACCEPTANCE_DTTM|CURRENT_DECISION_ID|CURRENT_QUEUE_TYPE_CODE|CURRENT_DECISION_STATUS_TYPE_CODE|APPLICATION_STATUS_TYPE_CODE|CHECKED_OUT_USER_ID|CHNG_DTTM|INSRT_TS|CHNG_TS|INSRT_USR_ID|CHNG_USR_ID|ACTIVE_FLAG|BEST_GUEST_MATCH_FLAG|TRIPS_090_DAYS|TRIPS_180_DAYS|TRIPS_270_DAYS|TRIPS_360_DAYS|SOURCE_CODE|IP_ADDRESS|FUND_TRANSFER_AUTHORIZE|ELECTRONIC_CONSENT|CARD_AGREEMENT|PRIVACY_POLICY|MESSAGE_VERSION_NUMBER|SOLICITATION_STORE_NUMBER|RINGING_STORE_NUMBER|SOLICITATION_TEAM_MEMBER|RINGING_TEAM_MEMBER|PRIVATE_LABEL_ONLY|CO_BRAND_ONLY|TERMS_VERSION|APR_TYPE|POS_BASKET_SIZE|PRE_APPROVED_ID|PRE_APPROVED_CODE|SOLICITATION_OFFER|PIN_SELECTED|WEB_DATA_1|WEB_DATA_2|WEB_DATA_3|WEB_DATA_4|WEB_DATA_5
98457|TCC-180123130976|1|||2|||2015-07-05 04:22:05.550198|1|2018-01-23 19:23:08.364000|99497|14|3|1||2018-01-23 04:17:54.194688|2015-07-05 04:22:05.550198|2018-01-23 19:23:08.882166|05945fa0-9c8b-11dd-ad8b-0800200c9a66|f4fd4f91-6a77-46c2-9e54-de71f7c16bbf|1|1|0|0|0|0|1000|192.1.199.1|1|1|0|1|1|7899|2371|1123|1381|1|0|F832315R0812117|1|3|333|12|555|0|vLBX06sf1LEZ1v3AvDXLkWK4G86dTGlyJmywHQBld3IwUkH0d3HikLEZERxT1Tr6NTlRVmVuKi9hjh1e1h3mCUEZVsacMj8z6RMH|vLBX06sf1LEZ1v3AvDXLkWK4G86dTGlyJmywHQBld3IwUkH0d3HikLEZERxT1Tr6NTlRVmVuKi9hjh1e1h3mCUEZVsacMj8z6RMH|vLBX06sf1LEZ1v3AvDXLkWK4G86dTGlyJmywHQBld3IwUkH0d3HikLEZERxT1Tr6NTlRVmVuKi9hjh1e1h3mCUEZVsacMj8z6RMH|vLBX06sf1LEZ1v3AvDXLkWK4G86dTGlyJmywHQBld3IwUkH0d3HikLEZERxT1Tr6NTlRVmVuKi9hjh1e1h3mCUEZVsacMj8z6RMH|vLBX06sf1LEZ1v3AvDXLkWK4G86dTGlyJmywHQBld3IwUkH0d3HikLEZERxT1Tr6NTlRVmVuKi9hjh1e1h3mCUEZVsacMj8z6RMH
98456|TCC-180123130975|1|||2|||2015-07-05 04:22:07.553604|1|2018-01-23 19:23:06.786000|99496|14|3|1||2018-01-23 04:17:42.531120|2015-07-05 04:22:07.553604|2018-01-23 19:23:07.208596|05945fa0-9c8b-11dd-ad8b-0800200c9a66|f4fd4f91-6a77-46c2-9e54-de71f7c16bbf|1|1|0|0|0|0|1000|192.1.199.1|1|1|0|1|1|1|2372|14818|3524|0|0|9802000004081710|1|3|333|12|555|0|zfQX8Mr0DlXS1RIKlVtkuQvbXKtCsb41Nh2YoZG3h7XoekotvNoSIzUg0QjZnlzCiU1vvwihkFDVrG1zsleBjwcOtORrzZ2USieX|zfQX8Mr0DlXS1RIKlVtkuQvbXKtCsb41Nh2YoZG3h7XoekotvNoSIzUg0QjZnlzCiU1vvwihkFDVrG1zsleBjwcOtORrzZ2USieX|zfQX8Mr0DlXS1RIKlVtkuQvbXKtCsb41Nh2YoZG3h7XoekotvNoSIzUg0QjZnlzCiU1vvwihkFDVrG1zsleBjwcOtORrzZ2USieX|zfQX8Mr0DlXS1RIKlVtkuQvbXKtCsb41Nh2YoZG3h7XoekotvNoSIzUg0QjZnlzCiU1vvwihkFDVrG1zsleBjwcOtORrzZ2USieX|zfQX8Mr0DlXS1RIKlVtkuQvbXKtCsb41Nh2YoZG3h7XoekotvNoSIzUg0QjZnlzCiU1vvwihkFDVrG1zsleBjwcOtORrzZ2USieX
97122|TCC-180123129729|1|||2|||2015-05-16 14:22:02.995450|1|2018-01-23 21:32:05.593000|98182|14|3|1||2018-01-23 14:17:38.155476|2015-05-16 14:22:02.995450|2018-01-23 21:32:06.751801|05945fa0-9c8b-11dd-ad8b-0800200c9a66|f4fd4f91-6a77-46c2-9e54-de71f7c16bbf|1|1|0|0|0|0|1000|192.1.199.1|0|1|0|1|1|2|2339|20265|20287|1|0|9802000004081710|1|2|333|12|555|0|4lRAa0lESTpnkw3ao2w8DjPW7Q2a6cvt41JGjIlpBdWW7GvwmvTzbtDynNwZdW3VzbeCJFKVXDiJVYHu5jFHV5PbkWttgiCObINe|4lRAa0lESTpnkw3ao2w8DjPW7Q2a6cvt41JGjIlpBdWW7GvwmvTzbtDynNwZdW3VzbeCJFKVXDiJVYHu5jFHV5PbkWttgiCObINe|4lRAa0lESTpnkw3ao2w8DjPW7Q2a6cvt41JGjIlpBdWW7GvwmvTzbtDynNwZdW3VzbeCJFKVXDiJVYHu5jFHV5PbkWttgiCObINe|4lRAa0lESTpnkw3ao2w8DjPW7Q2a6cvt41JGjIlpBdWW7GvwmvTzbtDynNwZdW3VzbeCJFKVXDiJVYHu5jFHV5PbkWttgiCObINe|4lRAa0lESTpnkw3ao2w8DjPW7Q2a6cvt41JGjIlpBdWW7GvwmvTzbtDynNwZdW3VzbeCJFKVXDiJVYHu5jFHV5PbkWttgiCObINe
97096|TCC-180123129728|1|||2|||2015-05-16 14:22:04.787637|1|2018-01-23 21:32:08.190000|98156|14|3|1||2018-01-23 14:15:38.306059|2015-05-16 14:22:04.787637|2018-01-23 21:32:08.697728|05945fa0-9c8b-11dd-ad8b-0800200c9a66|f4fd4f91-6a77-46c2-9e54-de71f7c16bbf|1|1|0|0|0|0|1000|192.1.199.1|1|1|0|1|1|3|2276|15410|30028|0|0|9802000004081710|1|1|333|12|555|0|1cwBauGTnmo6qFyv3MdeXjCYOsXqr0v45BvIS0iELCXeJW6y4ZNO2cYiLtgQZTdvpS1LcfH6Iw7i7HiRSZBXF98dQ9HYdbnKzJji|1cwBauGTnmo6qFyv3MdeXjCYOsXqr0v45BvIS0iELCXeJW6y4ZNO2cYiLtgQZTdvpS1LcfH6Iw7i7HiRSZBXF98dQ9HYdbnKzJji|1cwBauGTnmo6qFyv3MdeXjCYOsXqr0v45BvIS0iELCXeJW6y4ZNO2cYiLtgQZTdvpS1LcfH6Iw7i7HiRSZBXF98dQ9HYdbnKzJji|1cwBauGTnmo6qFyv3MdeXjCYOsXqr0v45BvIS0iELCXeJW6y4ZNO2cYiLtgQZTdvpS1LcfH6Iw7i7HiRSZBXF98dQ9HYdbnKzJji|1cwBauGTnmo6qFyv3MdeXjCYOsXqr0v45BvIS0iELCXeJW6y4ZNO2cYiLtgQZTdvpS1LcfH6Iw7i7HiRSZBXF98dQ9HYdbnKzJji
97077|TCC-180123129623|1|||2|||2015-05-15 23:52:03.997712|1|2018-01-23 19:23:12.079000|98137|14|3|1||2018-01-23 23:49:04.484977|2015-05-15 23:52:03.997712|2018-01-23 19:23:12.507945|05945fa0-9c8b-11dd-ad8b-0800200c9a66|f4fd4f91-6a77-46c2-9e54-de71f7c16bbf|1|1|0|0|0|0|1000|192.1.199.1|0|1|0|1|1|4|2375|16627|704|1|0|F832315R0812117|1|0|333|12|555|0|3ssyvi0mEDtlMQkE76Pf6hrow0TITlQBQJHqlZg0DDDrDL7DCQDdcMGD8Frr10LNMKMxvLRlqfLq2ur8nrvuGFxAV8at2hNcOk2t|3ssyvi0mEDtlMQkE76Pf6hrow0TITlQBQJHqlZg0DDDrDL7DCQDdcMGD8Frr10LNMKMxvLRlqfLq2ur8nrvuGFxAV8at2hNcOk2t|3ssyvi0mEDtlMQkE76Pf6hrow0TITlQBQJHqlZg0DDDrDL7DCQDdcMGD8Frr10LNMKMxvLRlqfLq2ur8nrvuGFxAV8at2hNcOk2t|3ssyvi0mEDtlMQkE76Pf6hrow0TITlQBQJHqlZg0DDDrDL7DCQDdcMGD8Frr10LNMKMxvLRlqfLq2ur8nrvuGFxAV8at2hNcOk2t|3ssyvi0mEDtlMQkE76Pf6hrow0TITlQBQJHqlZg0DDDrDL7DCQDdcMGD8Frr10LNMKMxvLRlqfLq2ur8nrvuGFxAV8at2hNcOk2t
97068|TCC-180123129632|1|||2|||2015-05-16 03:02:05.068923|1|2018-01-23 19:23:10.534000|98128|14|3|1||2018-01-23 00:49:57.930603|2015-05-16 03:02:05.068923|2018-01-23 19:23:11.041764|05945fa0-9c8b-11dd-ad8b-0800200c9a66|f4fd4f91-6a77-46c2-9e54-de71f7c16bbf|1|0|0|0|0|0|1000|192.1.199.1|1|1|0|1|1|5|1772|5362|21167|1|0|F832315R0812117|1|0|333|12|555|0|WWPKI28XynkJmn8Z7Vjy3K102LMv5Kr0VfMvUk6YjHaTbkU7Mfmo6zqS1EjcUKJIl5HRoBkwWbtN8L9zoPZ8nUjzXQPT3JyuRpNm|WWPKI28XynkJmn8Z7Vjy3K102LMv5Kr0VfMvUk6YjHaTbkU7Mfmo6zqS1EjcUKJIl5HRoBkwWbtN8L9zoPZ8nUjzXQPT3JyuRpNm|WWPKI28XynkJmn8Z7Vjy3K102LMv5Kr0VfMvUk6YjHaTbkU7Mfmo6zqS1EjcUKJIl5HRoBkwWbtN8L9zoPZ8nUjzXQPT3JyuRpNm|WWPKI28XynkJmn8Z7Vjy3K102LMv5Kr0VfMvUk6YjHaTbkU7Mfmo6zqS1EjcUKJIl5HRoBkwWbtN8L9zoPZ8nUjzXQPT3JyuRpNm|WWPKI28XynkJmn8Z7Vjy3K102LMv5Kr0VfMvUk6YjHaTbkU7Mfmo6zqS1EjcUKJIl5HRoBkwWbtN8L9zoPZ8nUjzXQPT3JyuRpNm
95442|TCC-180123128034|1|||2|||2015-04-20 17:12:04.627391|1|2018-01-23 03:12:44.529000|96502|14|3|1||2018-01-23 17:11:04.097524|2015-04-20 17:12:04.627391|2018-01-23 03:12:45.100325|05945fa0-9c8b-11dd-ad8b-0800200c9a66|f4fd4f91-6a77-46c2-9e54-de71f7c16bbf|1|1|0|0|0|0|1000|192.1.199.1|0|1|0|1|1|6|2503|19753|19396|0|0|F832315R0812117|1|1|333|12|555|0|9DwxbCnpohfZORcaMaPZxi3Af11uram1XTY1RfqQHR39dcRm8LeZ2r98ZyEwTmoWkkOtVOI0gyhxdKEyQwrI181jgHMOsl6pXp6I|9DwxbCnpohfZORcaMaPZxi3Af11uram1XTY1RfqQHR39dcRm8LeZ2r98ZyEwTmoWkkOtVOI0gyhxdKEyQwrI181jgHMOsl6pXp6I|9DwxbCnpohfZORcaMaPZxi3Af11uram1XTY1RfqQHR39dcRm8LeZ2r98ZyEwTmoWkkOtVOI0gyhxdKEyQwrI181jgHMOsl6pXp6I|9DwxbCnpohfZORcaMaPZxi3Af11uram1XTY1RfqQHR39dcRm8LeZ2r98ZyEwTmoWkkOtVOI0gyhxdKEyQwrI181jgHMOsl6pXp6I|9DwxbCnpohfZORcaMaPZxi3Af11uram1XTY1RfqQHR39dcRm8LeZ2r98ZyEwTmoWkkOtVOI0gyhxdKEyQwrI181jgHMOsl6pXp6I
84731|TCC-180123121194|1|||2|||2014-05-31 03:02:09.533032|1|2018-01-23 19:23:01.819000|85711|14|3|1||2018-01-23 01:42:08.247760|2014-05-31 03:02:09.533032|2018-01-23 19:23:02.430161|05945fa0-9c8b-11dd-ad8b-0800200c9a66|f4fd4f91-6a77-46c2-9e54-de71f7c16bbf|1|1|0|0|0|0|1000|192.1.199.1|1|1|0|1|1|7|1274|18390|1870|1|0|F832315R0812117|1|1|333|12|555|0|XHr9lr52boRfr2jLrosJplP60FRyRRF5Q596OsWgdMUY1t10oKh6HTNG0QIaSl22MLV4GKDiuLKr4QAahcDvWjF91m5M2W9S06BU|XHr9lr52boRfr2jLrosJplP60FRyRRF5Q596OsWgdMUY1t10oKh6HTNG0QIaSl22MLV4GKDiuLKr4QAahcDvWjF91m5M2W9S06BU|XHr9lr52boRfr2jLrosJplP60FRyRRF5Q596OsWgdMUY1t10oKh6HTNG0QIaSl22MLV4GKDiuLKr4QAahcDvWjF91m5M2W9S06BU|XHr9lr52boRfr2jLrosJplP60FRyRRF5Q596OsWgdMUY1t10oKh6HTNG0QIaSl22MLV4GKDiuLKr4QAahcDvWjF91m5M2W9S06BU|XHr9lr52boRfr2jLrosJplP60FRyRRF5Q596OsWgdMUY1t10oKh6HTNG0QIaSl22MLV4GKDiuLKr4QAahcDvWjF91m5M2W9S06BU
83332|TCC-180123120210|1|||2|||2014-05-06 08:09:19.495759|1|2018-01-23 19:22:14.437000|84312|14|3|1||2018-01-23 08:09:19.495759|2014-05-06 08:09:19.495759|2018-01-23 19:22:16.011015|05945fa0-9c8b-11dd-ad8b-0800200c9a66|f4fd4f91-6a77-46c2-9e54-de71f7c16bbf|1|1|0|0|0|0|1000|192.1.199.1|1|1|0|1|1|8|2084|32617|5376|0|0|F832315R0812117|1|1|333|12|555|0|s1Hv5Pts0Uaw8kdOHr0vYVCu5PiytoZmubaCpp3jfr3Hm9YHUbw4wofurjgcFRXKicLpATwIe5oJojE0ZNDXKxyGu9LNl3zZXXxR|s1Hv5Pts0Uaw8kdOHr0vYVCu5PiytoZmubaCpp3jfr3Hm9YHUbw4wofurjgcFRXKicLpATwIe5oJojE0ZNDXKxyGu9LNl3zZXXxR|s1Hv5Pts0Uaw8kdOHr0vYVCu5PiytoZmubaCpp3jfr3Hm9YHUbw4wofurjgcFRXKicLpATwIe5oJojE0ZNDXKxyGu9LNl3zZXXxR|s1Hv5Pts0Uaw8kdOHr0vYVCu5PiytoZmubaCpp3jfr3Hm9YHUbw4wofurjgcFRXKicLpATwIe5oJojE0ZNDXKxyGu9LNl3zZXXxR|s1Hv5Pts0Uaw8kdOHr0vYVCu5PiytoZmubaCpp3jfr3Hm9YHUbw4wofurjgcFRXKicLpATwIe5oJojE0ZNDXKxyGu9LNl3zZXXxR
83309|TCC-180123120181|1|||2|||2014-05-31 03:42:04.360414|1|2018-01-23 19:22:58.484000|84289|14|3|1||2018-01-23 03:34:31.620572|2014-05-31 03:42:04.360414|2018-01-23 19:22:59.030323|05945fa0-9c8b-11dd-ad8b-0800200c9a66|f4fd4f91-6a77-46c2-9e54-de71f7c16bbf|1|1|0|0|0|0|1000|192.1.199.1|1|1|0|1|1|9|1468|22502|16726|1|0|F832315R0812117|1|3|333|12|555|0|UwjaDQozpjbLJgNpa2h9Byo762eiGZqRKerNVIFI3Qx24ypgIRULw74FfZun3NTMQSEyTU7BxqvVcQIG6XYEu2u3ba2MPf8B40Tm|UwjaDQozpjbLJgNpa2h9Byo762eiGZqRKerNVIFI3Qx24ypgIRULw74FfZun3NTMQSEyTU7BxqvVcQIG6XYEu2u3ba2MPf8B40Tm|UwjaDQozpjbLJgNpa2h9Byo762eiGZqRKerNVIFI3Qx24ypgIRULw74FfZun3NTMQSEyTU7BxqvVcQIG6XYEu2u3ba2MPf8B40Tm|UwjaDQozpjbLJgNpa2h9Byo762eiGZqRKerNVIFI3Qx24ypgIRULw74FfZun3NTMQSEyTU7BxqvVcQIG6XYEu2u3ba2MPf8B40Tm|UwjaDQozpjbLJgNpa2h9Byo762eiGZqRKerNVIFI3Qx24ypgIRULw74FfZun3NTMQSEyTU7BxqvVcQIG6XYEu2u3ba2MPf8B40Tm
